250120211220, 14,  "Stanley #2 Philips Screwdriver", 6.95, 215, 0.2, 1195.40, 01/25/21, 12:20:59 PM EST
250120211230, 14,  "Stanley #2 Philips Screwdriver", 6.95, 25, 0.2, 139.00, 01/25/21, 12:30:42 PM EST
250120211230, 14,  "Stanley #2 Philips Screwdriver", 6.95, 15235, 0.2, 84706.60, 01/25/21, 12:30:42 PM EST
250120211230, 23,  "Tamiya 2oz paint - ferrari red", 2.39, 124, 0.2, 237.09, 01/25/21, 12:30:42 PM EST
250120210256, 14,  "Stanley #2 Philips Screwdriver", 6.95, 25, 0.2, 139.00, 01/25/21, 02:56:11 PM EST
250120210256, 23,  "Tamiya 2oz paint - ferrari red", 2.39, 5, 0.1, 10.76, 01/25/21, 02:56:11 PM EST
250120210256, 4762,  "HP copy paper ultra white - ream", 13.50, 5, 0.1, 60.75, 01/25/21, 02:56:11 PM EST
250120210258, 14,  "Stanley #2 Philips Screwdriver", 6.95, 5, 0.1, 31.28, 01/25/21, 02:58:50 PM EST
250120210258, 23,  "Tamiya 2oz paint - ferrari red", 2.39, 321, 0.2, 613.75, 01/25/21, 02:58:50 PM EST
250120210258, 268,  "Sidi Wire 2 carbon shoes", 499.99, 6, 0.1, 2699.95, 01/25/21, 02:58:50 PM EST
250120210300, 387,  "Brachs butterscotch hard candy - 1 lb", 4.50, 6, 0.1, 24.30, 01/25/21, 03:00:13 PM EST
250120210300, 4762,  "HP copy paper ultra white - ream", 13.50, 3, 0.0, 40.50, 01/25/21, 03:00:13 PM EST
250120210300, 358922,  "25 lbs peanuts in shell", 45.00, 4, 0.0, 180.00, 01/25/21, 03:00:13 PM EST
260120210744, 2190,  "Hefty 30 gal with handles - box 40", 19.00, 1, 0.0, 19.00, 01/26/21, 07:44:31 PM EST
260120210744, 387,  "Brachs butterscotch hard candy - 1 lb", 4.50, 5, 0.1, 20.25, 01/26/21, 07:44:31 PM EST
260120210746, 14,  "Stanley #2 Philips Screwdriver", 6.95, 5, 0.1, 31.28, 01/26/21, 07:46:10 PM EST
260120210746, 268,  "Sidi Wire 2 carbon shoes", 499.99, 5, 0.1, 2249.96, 01/26/21, 07:46:10 PM EST
260120210746, 1111,  "Top Secret Twenty One - Janet Evanovich", 8.99, 5, 0.1, 40.46, 01/26/21, 07:46:10 PM EST
260120210757, 14,  "Stanley #2 Philips Screwdriver", 6.95, 23, 0.2, 127.88, 01/26/21, 07:57:53 PM EST
260120210757, 23,  "Tamiya 2oz paint - ferrari red", 2.39, 14, 0.2, 28.44, 01/26/21, 07:57:53 PM EST
260120210757, 23,  "Tamiya 2oz paint - ferrari red", 2.39, 3, 0.0, 7.17, 01/26/21, 07:57:53 PM EST
260120210757, 14,  "Stanley #2 Philips Screwdriver", 6.95, 10000, 0.2, 55600.00, 01/26/21, 07:57:53 PM EST
260120210759, 14,  "Stanley #2 Philips Screwdriver", 6.95, 20000, 0.2, 111200.00, 01/26/21, 07:59:33 PM EST
260120210759, 14,  "Stanley #2 Philips Screwdriver", 6.95, 20000, 0.2, 111200.00, 01/26/21, 07:59:33 PM EST
260120210759, 14,  "Stanley #2 Philips Screwdriver", 6.95, 50000, 0.2, 278000.00, 01/26/21, 07:59:33 PM EST
260120210759, 3451,  "Oakley Jawbreaker sunglasses", 236.00, 100000, 0.2, 18880000.00, 01/26/21, 07:59:33 PM EST
260120210759, 3451,  "Oakley Jawbreaker sunglasses", 236.00, 55000, 0.2, 10384000.00, 01/26/21, 07:59:33 PM EST
260120210759, 23,  "Tamiya 2oz paint - ferrari red", 2.39, 15, 0.2, 28.68, 01/26/21, 07:59:33 PM EST
260120210759, 387,  "Brachs butterscotch hard candy - 1 lb", 4.50, 5, 0.1, 20.25, 01/26/21, 07:59:33 PM EST
260120210759, 198,  "Box of 10 Sharpie Roller 0.5mm", 6.50, 5, 0.1, 29.25, 01/26/21, 07:59:33 PM EST
260120210759, 23,  "Tamiya 2oz paint - ferrari red", 2.39, 4, 0.0, 9.56, 01/26/21, 07:59:57 PM EST
260120210759, 14,  "Stanley #2 Philips Screwdriver", 6.95, 5, 0.1, 31.28, 01/26/21, 07:59:57 PM EST
260120210822, 14,  "Stanley #2 Philips Screwdriver", 6.95, 3, 0.0, 20.85, 01/26/21, 08:22:25 PM EST
260120210822, 23,  "Tamiya 2oz paint - ferrari red", 2.39, 5, 0.1, 10.76, 01/26/21, 08:22:25 PM EST
